folio;hogar;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_05b;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_08b;s1a_09;s1a_09b;s1a_10;s1a_11;s1a_12;s1a_13;s1a_14;s1a_15;s1a_16;s1a_16b;s1a_17_1a;s1a_17_1b;s1a_17_2a;s1a_17_2b;s1a_17_3a;s1a_17_3b;s1a_17_4a;s1a_17_4b;s1a_17_4c;s1a_18_1a;s1a_18_1b;s1a_18_2a;s1a_18_2b;s1a_18_3a;s1a_18_3b;s1a_18_4a;s1a_18_4b;s1a_18_5a;s1a_18_5b;s1a_18_5c;s1a_19;s1a_20;s1a_20b;s1a_21;s1a_22;s1a_23;s1a_24;s1a_25;s1a_26;depto;prov;mun;urbrur;upm;estrato;dia;mes;anio;factor_ant;factor
"42-04600368190-A0061";1;1;2;"";;100;2;"";1;4;"";7;"";2;"";14;6;;;1;17;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;4;2;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0071";1;1;2;"";;100;1;"";1;1;"";5;"";2;"";14;6;;;1;45;3;"";2;;2;;1;400;2;"";;2;;2;;2;;2;;2;"";;2;3;"";47;2;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0081";1;4;5;"";;150;1;"";1;1;"";5;"";2;"";15;6;;;1;40;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0091";1;4;1;"";50;;2;"";2;4;"";7;"";2;"";14;6;;;1;20;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0111";1;4;1;"";30;;2;"";2;4;"";7;"";2;"";14;6;;;2;;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0121";1;1;2;"";;70;2;"";2;4;"";7;"";2;"";22;6;;;1;24;3;"";2;;2;;2;;2;"";;2;;1;40;2;;2;;2;"";;2;3;"";24;2;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0131";1;1;2;"";;100;2;"";2;4;"";7;"";2;"";14;6;;;1;25;4;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";24;2;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04600368190-A0141";1;1;2;"";;150;2;"";2;1;"";1;"";2;"";14;6;;;1;25;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";23;1;1;2;;2;"04";"0410";"041001";2;"42-04600368190-A";4;27;11;2014;255;256
"42-04601069888-A0011";1;1;2;"";;150;2;"";1;1;"";7;"";1;"";14;6;;;1;35;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
"42-04601069888-A0021";1;1;5;"";;80;2;"";1;1;"";7;"";1;"";14;6;;;1;25;3;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";24;1;1;2;;2;"04";"0410";"041001";2;"42-04601069888-A";4;12;12;2014;306;307
