folio;s1a_01;s1a_02;s1a_02b;s1a_03;s1a_04;s1a_05;s1a_06;s1a_07;s1a_07b;s1a_08;s1a_09;s1a_09b;s1a_10;s1a_10b;s1a_11;s1a_11b;s1a_12a;s1a_12b;s1a_13;s1a_14;s1a_15;s1a_16;s1a_17;s1a_18;s1a_19;s1a_20;s1a_20b;s1a_21_1a;s1a_21_1b;s1a_21_2a;s1a_21_2b;s1a_21_3a;s1a_21_3b;s1a_21_4a;s1a_21_4a1;s1a_21_4b;s1a_22_1a;s1a_22_1b;s1a_22_2a;s1a_22_2b;s1a_22_3a;s1a_22_3b;s1a_22_4a;s1a_22_4b;s1a_22_5a;s1a_22_5a1;s1a_22_5b;s1a_23;s1a_24;s1a_24a;s1a_25;s1a_26;s1a_27;s1a_28;s1a_29;s1a_30;departamento;area;upm;estrato;factor
"713-05235133843-A-0181";1;2;"";;3000;2;;1;"";1;2;"";6;"";1;"";24;0;150;1;1;1;;1;500;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";2;4;3;1;200;1;7;1;"713-05235133843-A";"13";345
"713-05258368416-A-0142";1;2;"";;500;2;;1;"";1;3;"";6;"";1;"";24;0;70;1;1;1;;1;120;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";1;1;1;2;;2;7;1;"713-05258368416-A";"13";345
"714-05215958095-A-0051";4;2;"";;900;2;;1;"";1;2;"";6;"";2;"";24;0;60;1;1;2;3;1;120;6;"";2;;2;;2;;2;"";;1;7000;2;;2;;2;;2;"";;1;3;"";1;1;1;2;;1;7;1;"714-05215958095-A";"14";459
"144-03286807224-A-0121";4;4;"";;300;2;;1;"";1;1;"";6;"";1;"";12;0;;1;1;2;3;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";0;1;1;2;;1;1;2;"144-03286958102-A";"24";182
"144-03286807224-A-0141";4;4;"";;200;2;;1;"";1;3;"";6;"";8;"";;;0;1;1;2;3;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";0;1;1;2;;1;1;2;"144-03286958102-A";"24";182
"213-00630297100-A-0131";1;5;"";;700;2;;1;"";1;1;"";6;"";1;"";24;0;50;1;1;1;;1;172;6;"";1;5000;2;;2;;1;"ns/nr";0;2;;2;;2;;1;170;1;"";0;1;4;"";0;3;1;1;25;2;2;1;"213-00630297100-A";"13";233
"314-05211093884-A-0751";3;2;"";;1300;2;;1;"";1;2;"";6;"";1;"";4;0;35;1;2;1;;1;110;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";0;4;3;1;25;1;3;1;"314-05211093884-A";"14";192
"314-05239690438-A-0181";3;2;"";;1000;2;;1;"";1;2;"";6;"";1;"";6;0;60;1;1;1;;1;70;6;"";2;;1;200;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";0;2;2;2;;2;3;1;"314-05239690438-A";"14";231
"324-05238344975-A-0281";3;5;"";;800;2;;1;"";1;3;"";6;"";1;"";2;0;;1;1;1;;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;4;"";0;2;2;2;;2;3;1;"324-05238344975-A";"14";210
"614-02968603872-A-0141";1;2;"";;400;2;;1;"";1;2;"";6;"";12;"AUN NO CUENTA CON SERVICIOS BÁSICOS PERO ESTA EN PROCESO";;;;1;1;2;2;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;4;"";0;1;1;2;;2;6;1;"614-02968603872-A";"14";183
"914-12131534539-A-0151";1;7;"TRABAJA CAMA ADENTRO";;1000;2;;1;"";1;3;"";6;"";10;"";;;10;1;1;1;;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";0;5;1;2;;2;9;1;"914-12131534539-A";"14";154
"113-04174277189-A-0222";4;1;"";300;;2;;1;"";1;3;"";6;"";1;"";24;0;15;1;1;2;3;1;15;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;1;1;1;"113-04174277189-A";"13";250
"114-00417208133-A-0081";4;1;"";350;;2;;1;"";1;3;"";6;"";1;"";24;0;30;1;1;2;3;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;1;1;1;"114-00417208133-A";"14";504
"114-04175854749-A-0211";4;2;"";;1000;2;;2;"";1;2;"";6;"";1;"";24;0;85;1;1;2;4;1;250;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;1;32;2;1;1;"114-04175854749-A";"14";458
"214-00627663377-A-0131";3;1;"";2660;;2;;1;"";1;3;"";6;"";1;"";24;0;60;1;1;1;;1;200;6;"";2;;1;200;2;;2;"";;2;;2;;2;;2;;2;"";;1;6;"";;2;1;2;;1;2;1;"214-00627663377-A";"14";257
"214-06064880816-A-0251";1;1;"";7000;;2;;1;"";1;2;"";6;"";1;"";24;0;40;1;1;1;;1;200;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;6;"";;4;2;1;60;1;2;1;"214-06064880816-A";"14";343
"263-06110375954-A-0041";1;1;"";1500;;2;;1;"";1;3;"";6;"";1;"";24;0;20;1;1;1;;1;350;6;"";1;0;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;2;1;"263-06110375954-A";"13";233
"263-06110375954-A-0121";4;4;"";;200;2;;1;"";1;1;"";6;"";1;"";24;0;10;1;1;1;;1;70;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;2;1;"263-06110375954-A";"13";233
"312-05167375205-A-0031";1;5;"";;500;2;;1;"";1;2;"";6;"";11;"";;;30;1;2;1;;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;7;"";;6;1;1;35;2;3;1;"312-05167375205-A";"12";204
"313-05179451795-A-0111";1;5;"";;200;2;;1;"";1;3;"";6;"";11;"";;;40;1;2;2;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;0;2;;2;3;1;"313-05179451795-A";"13";248
"313-05261301520-A-0411";4;1;"";1000;;2;;1;"";1;2;"";6;"";1;"";3;0;20;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;2;1;2;;1;3;1;"313-05261301520-A";"13";248
"314-05230221578-A-0291";4;1;"";150;;2;;1;"";1;3;"";6;"";1;"";1;0;70;1;1;1;;1;80;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05230221578-A";"14";192
"314-05234788361-A-0221";3;1;"";500;;2;;1;"";1;3;"";6;"";1;"";0;30;50;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;2;2;2;;2;3;1;"314-05234788361-A";"14";192
"314-05234788361-A-0241";4;1;"";350;;2;;1;"";1;2;"";6;"";1;"";0;30;50;1;1;1;;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05234788361-A";"14";192
"314-05237375544-A-1031";4;1;"";200;;2;;1;"";1;2;"";6;"";1;"";2;0;60;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05237375544-A";"14";192
"314-05237492183-A-0201";4;1;"";300;;2;;1;"";1;2;"";6;"";1;"";1;0;50;1;1;1;;1;60;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05237492183-A";"14";192
"314-05237492183-A-0251";3;1;"";500;;2;;1;"";1;2;"";6;"";1;"";1;0;50;1;1;1;;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;7;"";;1;1;2;;2;3;1;"314-05237492183-A";"14";192
"314-05240327608-A-0211";4;1;"";400;;2;;1;"";1;3;"";6;"";1;"";1;0;50;1;1;1;;1;40;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05240327608-A";"14";257
"314-05241001449-A-0491";1;1;"";350;;2;;1;"";1;1;"";6;"";1;"";4;0;50;1;1;2;2;1;50;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;6;"";;1;1;2;;2;3;1;"314-05241001449-A";"14";192
"314-05241001449-A-0761";1;1;"";500;;2;;1;"";1;2;"";6;"";1;"";3;0;20;1;1;2;2;1;30;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05241001449-A";"14";192
"314-05254711061-A-0541";1;4;"";;350;2;;1;"";1;2;"";6;"";1;"";3;0;80;1;1;1;;1;200;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;3;1;"314-05254711061-A";"14";210
"314-05265329226-A-0071";4;4;"";;200;2;;1;"";1;2;"";6;"";1;"";12;0;;1;1;1;;1;0;6;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;1;3;1;"314-05265329226-A";"14";210
