dep;pro;can;ciu;area;zona;v00;v01;v02;v03;v04;v05;v06;v07;v081;v082;v083;v09;v10;v11;v12;v14;v15;v18h;v18m;i10v;i13v;v011;claviv;v18t;urb;folio;totpob;tothom;totmuj
9;95;0;99;1;1;9;11;1;3;1;3;4;3;1;2;3;1;5;1;1;1;3;1;2;19;11;1;2;3;1;1151658;3;1;2
9;95;0;99;1;1;9;14;1;1;4;1;1;1;1;3;3;1;2;1;1;1;3;1;2;20;11;1;11;3;1;1151659;3;1;2
9;95;0;99;1;1;9;11;1;1;1;1;1;1;1;3;3;1;1;0;2;1;3;1;3;21;11;1;3;4;1;1151660;4;1;3
9;95;0;99;1;1;9;11;1;5;1;3;4;3;3;4;3;1;1;0;2;5;3;1;0;22;11;1;4;1;1;1151661;1;1;0
9;95;0;99;1;1;24;11;1;3;1;4;2;1;1;3;3;1;5;2;1;2;3;3;1;1;11;1;2;4;1;1151662;4;3;1
9;95;0;99;1;1;24;11;1;3;1;4;2;1;1;3;1;1;4;2;1;1;3;1;2;2;11;1;2;3;1;1151663;3;1;2
9;95;0;99;1;1;24;11;1;5;1;1;2;1;1;3;3;1;4;2;1;2;3;2;4;3;11;1;4;6;1;1151664;6;2;4
9;95;0;99;1;1;24;11;1;5;1;1;2;1;1;3;3;1;6;5;1;2;3;3;7;4;11;1;4;10;1;1151665;10;3;7
9;95;0;99;1;1;24;11;1;5;1;1;2;1;1;3;3;1;2;1;1;2;3;2;2;5;11;1;4;4;1;1151666;4;2;2
9;95;0;99;1;1;24;14;1;5;4;1;2;1;1;1;1;1;2;1;1;1;3;1;1;6;11;1;5;2;1;1151667;2;1;1
9;95;0;99;1;1;24;11;1;3;1;4;2;1;1;1;3;1;4;2;1;1;3;3;2;7;11;1;2;5;1;1151668;5;3;2
9;95;0;99;1;1;24;11;1;5;1;1;2;1;1;1;1;1;5;3;1;1;3;2;1;8;11;1;4;3;1;1151669;3;2;1
9;95;0;99;1;1;24;13;1;3;1;4;2;1;2;1;3;1;3;2;2;1;3;1;3;9;21;1;2;4;1;1151670;4;1;3
9;95;0;99;1;1;24;13;1;3;1;4;2;1;2;1;3;1;1;0;2;6;3;1;3;9;22;1;2;4;1;1151671;4;1;3
9;95;0;99;1;1;24;11;1;3;1;4;2;1;1;2;3;1;2;1;1;1;3;0;1;10;11;1;2;1;1;1151672;1;0;1
9;95;0;99;1;1;24;11;1;3;1;1;2;1;1;2;3;1;5;2;1;1;3;1;2;11;11;1;2;3;1;1151673;3;1;2
9;95;0;99;1;1;24;11;1;5;1;1;2;1;1;2;3;1;3;2;1;1;3;4;2;12;11;1;4;6;1;1151674;6;4;2
9;95;0;99;1;1;24;14;1;5;4;1;1;1;1;1;3;1;3;2;1;2;3;6;1;13;11;1;5;7;1;1151675;7;6;1
9;95;0;99;1;1;24;14;1;5;4;5;4;3;1;3;3;1;2;1;1;2;3;1;1;14;11;1;10;2;1;1151676;2;1;1
9;95;0;99;1;1;24;14;1;5;4;5;4;3;1;3;3;1;2;1;1;1;3;3;3;15;11;1;10;6;1;1151677;6;3;3
9;95;0;99;1;1;24;11;1;3;1;4;4;7;1;2;3;1;2;1;1;1;3;3;1;16;11;1;2;4;1;1151678;4;3;1
9;95;0;99;1;1;24;11;1;3;1;4;4;7;1;2;3;1;3;2;1;2;3;2;4;17;11;1;2;6;1;1151679;6;2;4
9;95;0;99;1;1;24;14;1;5;4;4;4;5;3;4;3;1;2;1;1;2;3;1;0;18;11;1;5;1;1;1151680;1;1;0
9;95;0;99;1;1;24;14;1;4;4;3;2;1;3;4;3;2;1;0;1;2;3;1;2;19;11;1;11;3;1;1151681;3;1;2
9;95;0;99;1;1;24;14;1;5;4;4;2;1;3;4;3;1;1;0;1;2;3;1;1;20;11;1;5;2;1;1151682;2;1;1
9;95;0;99;1;1;24;14;1;5;4;3;2;1;3;4;3;2;1;0;1;2;3;2;1;21;21;1;5;3;1;1151683;3;2;1
9;95;0;99;1;1;24;14;1;5;4;3;2;1;3;4;3;2;1;0;1;2;3;2;1;21;22;1;5;3;1;1151684;3;2;1
9;95;0;99;1;1;24;14;1;5;4;4;2;1;3;4;3;2;1;0;1;2;3;1;1;22;11;1;5;2;1;1151685;2;1;1
9;95;0;99;1;1;24;14;1;4;5;5;2;1;3;4;3;1;2;1;1;2;3;3;4;23;11;1;11;7;1;1151686;7;3;4
9;95;0;99;1;1;0;14;1;5;4;1;4;7;1;2;3;1;4;2;2;1;3;2;3;24;11;1;5;5;1;1151687;5;2;3
9;95;0;99;1;1;0;14;1;5;4;5;4;3;1;3;3;2;2;1;1;1;3;3;1;25;11;1;10;4;1;1151688;4;3;1
9;95;0;99;1;1;36;14;1;5;4;5;4;3;3;4;3;2;2;1;2;1;3;2;3;26;11;1;10;5;1;1151689;5;2;3
9;95;0;99;1;1;36;14;1;5;4;5;4;7;1;3;3;1;3;2;2;1;3;7;3;27;11;1;10;10;1;1151690;10;7;3
9;95;0;99;1;1;36;11;1;3;1;4;2;1;1;2;1;1;3;1;1;1;3;1;4;28;11;1;2;5;1;1151691;5;1;4
9;95;0;99;1;1;36;14;1;1;4;3;2;1;1;3;3;1;2;1;2;1;3;1;1;29;11;1;11;2;1;1151692;2;1;1
9;95;0;99;1;1;36;14;1;5;4;1;1;1;1;3;3;1;4;2;2;2;3;4;2;30;11;1;5;6;1;1151693;6;4;2
9;95;0;99;1;1;36;14;1;5;4;1;2;1;1;3;3;1;3;2;2;1;3;4;3;31;11;1;5;7;1;1151694;7;4;3
