folio;upm;s11a_01;s11a_02;s11a_02_1;s11a_03a;s11a_03b;s11a_04a;s11a_04b;s11a_05;s11a_05e;s11a_06;s11a_07;s11a_07e;s11a_08;s11a_08e;s11a_09;s11a_10a;s11a_10b;s11a_11a;s11a_11b;s11a_12;s11a_13a;s11a_13b;s11a_13c;s11a_13d;s11a_13e;s11a_13f;s11a_13g;s11a_13h;s11a_13i;s11a_13j;s11a_13k;s11a_13ke;area;depto;estrato;factor
114072;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114079;"261-06005573856-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114082;"261-06005573856-A";1;1;1;20301;"JAPUMA";2;2;2;"";2;4;"";8;"";2;;;100;1;1;0;64;36;0;0;0;0;0;0;0;0;"";1;2;"11";146
114097;"261-06164540200-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114105;"262-06063839727-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";187
114108;"262-06063839727-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";187
114115;"261-06005573856-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114120;"261-06005573856-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";146
114128;"261-06005573856-A";1;2;1;22001;"CARANAVI";2;2;1;"";2;4;"";3;"";2;;;726;1;2;180;180;120;0;40;0;16;100;40;50;0;"";1;2;"11";146
114128;"261-06005573856-A";;;2;21002;"QUIME";2;2;5;"";1;4;"";3;"";2;;;190;1;3;80;50;0;0;10;0;0;50;0;0;0;"";1;2;"11";146
114137;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114141;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114145;"262-06076867646-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"12";202
114164;"261-06110421541-A";2;;;;"";;;;"";;;"";;"";;;;;;;;;;;;;;;;;;"";1;2;"11";175
