folio;upm;s01a_00a;s01a_00b;s01a_00c;s01a_01;totper;s01a_02;s01a_02e;s01a_03;s01a_03e;s01a_04;s01a_05;s01a_06;s01a_06e;s01a_07;s01a_08;s01a_08e;s01a_09;s01a_09e;s01a_10;s01a_10e;s01a_11aa;s01a_11ab;s01a_11b;s01a_12;s01a_13;s01a_14_1;s01a_14_2;s01a_14_3;s01a_15;s01a_16;s01a_17;s01a_18;s01a_19;s01a_20;s01a_21;s01a_21e;s01a_22_1a;s01a_22_1b;s01a_22_2a;s01a_22_2b;s01a_22_3a;s01a_22_3b;s01a_22_4a;s01a_22_4ae;s01a_22_4b;s01a_23_1a;s01a_23_1b;s01a_23_2a;s01a_23_2b;s01a_23_3a;s01a_23_3b;s01a_23_4a;s01a_23_4b;s01a_23_5a;s01a_23_5ae;s01a_23_5b;s01a_24;s01a_25;s01a_25e;s01a_26;s01a_27;s01a_28;s01a_29;s01a_30;s01a_31;area;depto;estrato;factor
131003;"443-04890400099-A";1;11;2016;1;3;1;"";4;"";;50;2;"";1;1;"";5;"";9;"";;;;15;2;1;1;1;5;;;;1;25;4;"";1;2000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;2;1;2;;2;2;4;"23";173
131004;"443-04890400099-A";1;11;2016;4;3;3;"";;"";50;;2;"";1;1;"";5;"";9;"";;;;15;2;1;1;1;5;;;;1;25;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";30;1;0;2;;2;2;4;"23";173
131015;"451-04765466421-D";4;11;2016;1;1;1;"";4;"";;20;2;"";1;1;"";7;"";8;"";;;;0;2;1;1;1;5;;;;2;;4;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;3;"";28;1;0;2;;2;2;4;"21";244
131016;"451-04765466421-D";4;11;2016;1;2;1;"";4;"";;20;2;"";2;2;"";7;"";8;"";;;;0;2;1;2;1;5;;;;2;;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;1;"";0;1;0;2;;2;2;4;"21";244
131017;"451-04765466421-D";4;11;2016;1;1;1;"";4;"";;20;2;"";1;1;"";5;"";8;"";;;;0;2;1;1;1;1;2;1;;1;23;2;"";2;;2;;2;;2;"";;2;;2;;2;;1;50;2;"";;1;3;"";25;1;0;2;;2;2;4;"21";244
131052;"443-03913783413-A";1;11;2016;1;1;3;"";;"";50;;2;"";1;4;"";5;"";9;"";;;;5;1;1;1;1;5;;;;1;0;4;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;7;"";;1;1;2;;2;2;4;"23";173
131053;"443-03913783413-A";1;11;2016;1;1;1;"";4;"";;50;2;"";1;4;"";1;"";9;"";;;;5;2;1;2;2;5;;;;1;20;4;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";29;3;0;2;;2;2;4;"23";173
131057;"443-03913783413-A";1;11;2016;1;2;1;"";4;"";;30;2;"";2;4;"";1;"";9;"";;;;5;1;1;1;1;2;;1;;1;16;2;"";2;;2;;2;;2;"";;1;2000;2;;2;;2;;2;"";;1;3;"";29;1;1;2;;2;2;4;"23";173
131060;"452-03885743615-D";4;11;2016;1;1;1;"";4;"";;30;2;"";2;4;"";1;"";6;"";;;;0;2;2;2;2;5;;;;1;12;2;"";2;;2;;2;;2;"";;2;;2;;2;;2;;2;"";;1;1;"";0;1;1;2;;2;2;4;"22";235
131062;"452-03885743615-D";4;11;2016;1;2;1;"";4;"";;200;2;"";1;1;"";7;"";6;"";;;;0;2;2;2;1;5;;;;1;12;2;"";1;3000;2;;2;;2;"";;2;;2;;2;;2;;2;"";;2;3;"";40;3;1;2;;2;2;4;"22";235
